Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
sweet-trouble-5ml-travel-size-edp,Sweet Trouble — 5ml Travel Size,"<p class=""isSelectedEnd""><strong><span><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/Sweet_Trouble.png?v=1786280833"" alt=""""></span></strong></p>
<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""><strong><span>Sweet Trouble</span></strong><br><em><span>Inspired by Carolina Herrera's Good Girl Blush</span></em></p>
<p class=""isSelectedEnd""><span>Sweet Trouble is a playful contradiction—soft yet confident, delicate yet impossible to ignore. It opens with a burst of sparkling citrus that melts into a bouquet of romantic peony and elegant rose, creating a fresh, feminine heart. As it settles, creamy vanilla and sensual musk wrap the fragrance in a smooth, addictive warmth that lingers beautifully on the skin.</span></p>
<p class=""isSelectedEnd""><span>Charming, modern, and effortlessly flirty, Sweet Trouble is made for the woman who embraces both her gentle and bold sides. It's the perfect everyday signature scent, transitioning seamlessly from brunch dates to evening outings with a graceful yet captivating presence.</span></p>
<p><strong><span>Fragrance Family:</span></strong><span> Floral • Fresh • Gourmand</span><br><strong><span>Mood:</span></strong><span> Feminine • Playful • Sophisticated</span></p>",Niche Essences,,Eau De Parfum,"Good Girl, Niche Essences, Niche Perfumes, niche:taxonomy:v1, niche:audience:female, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:rose, niche:note:vanilla, niche:season:all-season, niche:time:evening, niche:occasion:everyday, niche:occasion:date-night, niche:occasion:signature-scent",TRUE,Title,Default Title,,,,,SW-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/12.png?v=1787222963,1,,,,,,,,,,,,,,,,,,,,,,,,active
verdict-5ml-travel-size-edp,Verdict — 5ml Travel Size,"<p><strong><img></strong></p>
<p><strong><img><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/verdict.png?v=1786279368"" alt="""" width=""591"" height=""369""></strong></p>
<p><strong>Crisp Elegance with Unmistakable Presence</strong><br><strong>VERDICT</strong> by Niche Eau de Parfum is a distinguished unisex fragrance inspired by the iconic character of Hacivat. It opens with a vibrant blend of fresh pineapple, sparkling bergamot, and zesty grapefruit, creating a bright yet sophisticated introduction that is both energetic and effortlessly refined. This striking opening captures the essence of confidence and charisma, setting the stage for a fragrance that commands attention with modern elegance.</p>
<p><strong>Fruity Woods &amp; Refined Sophistication</strong><br>At the heart of VERDICT lies an elegant fusion of jasmine, patchouli, and cedarwood. The luminous floral character of jasmine adds refinement, while earthy patchouli brings depth and character, complemented by the smooth presence of cedarwood. Together, these notes create a polished and sophisticated composition that feels vibrant, confident, and unmistakably luxurious.</p>
<p><strong>Mossy Woods &amp; Lasting Distinction</strong><br>The fragrance settles into a powerful and captivating base of oakmoss, dry woods, and warm musks. Rich woody nuances blend with the earthy depth of oakmoss, creating a refined and enduring trail that is both commanding and sophisticated. VERDICT is a signature-worthy eau de parfum—fresh, elegant, and unforgettable, crafted for those who appreciate bold character, timeless sophistication, and unmistakable presence.</p>",Niche Essences,,Eau De Parfum,"niche:taxonomy:v1, niche:audience:unisex, niche:note:bergamot, niche:note:cedar, niche:note:floral-accord, niche:note:fruity-accord, niche:note:grapefruit, niche:note:jasmine, niche:note:moss, niche:note:patchouli, niche:note:pineapple, niche:note:woody-accord, niche:season:all-season, niche:time:day-to-night, niche:occasion:everyday",TRUE,Title,Default Title,,,,,VE-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/11_1.png?v=1787222888,1,,,,,,,,,,,,,,,,,,,,,,,,active
maverick-5ml-travel-size-edp,Maverick — 5ml Travel Size,"<p><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/verdict_548d48ed-94af-4235-8697-251cb8c9e889.png?v=1786280129"" alt="""" style=""font-size: 0.875rem;""><strong>Fresh Confidence with Modern Character</strong><br><strong>Maverick</strong> by Niche Eau de Parfum is a distinguished men's fragrance inspired by the iconic character of YSL's Y. It opens with a vibrant blend of crisp apple, sparkling bergamot, and fresh ginger, creating a clean yet energetic introduction that is both sophisticated and effortlessly masculine. This invigorating opening captures the essence of confidence, setting the stage for a fragrance that balances freshness with contemporary elegance.</p>
<p><strong>Aromatic Sage &amp; Refined Intensity</strong><br>At the heart of Maverick lies an elegant fusion of aromatic sage, juniper, and geranium. The herbaceous character of sage brings freshness and sophistication, while juniper adds a crisp, invigorating edge and geranium provides a smooth floral nuance. Together, these notes create a dynamic and polished heart that feels fresh, confident, and unmistakably modern.</p>
<p><strong>Woody Amber &amp; Lasting Sophistication</strong><br>The fragrance settles into a warm and captivating base of amberwood, cedarwood, and tonka bean. Rich woody notes provide depth and structure, while smooth amber and creamy tonka bean add warmth and sensuality to the composition. Maverick is a signature-worthy men's eau de parfum—fresh, refined, and unforgettable, crafted for those who appreciate modern masculinity with effortless confidence and lasting presence.</p>",Niche Essences,,Eau De Parfum,"niche:taxonomy:v1, niche:audience:male, niche:note:amber, niche:note:apple, niche:note:bergamot, niche:note:cedar, niche:note:floral-accord, niche:note:ginger, niche:note:sage, niche:note:tonka-bean, niche:note:woody-accord, niche:season:all-season, niche:time:day-to-night, niche:occasion:everyday",TRUE,Title,Default Title,,,,,MV-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/9_1.png?v=1787222797,1,,,,,,,,,,,,,,,,,,,,,,,,active
golden-hour-5ml-travel-size-eau-de-parfum,Golden Hour — 5ml Travel Size,"<p class=""isSelectedEnd""><strong><span><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/Bal_Dafrique.png?v=1786280350"" alt=""""></span></strong></p>
<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""><strong><span>Golden Hour</span></strong><br><em><span>Inspired by Byredo's Bal d'Afrique</span></em></p>
<p class=""isSelectedEnd""><span>Golden Hour captures the feeling of the last rays of sunlight bathing everything in a warm, golden glow. A vibrant opening of sparkling citrus and juicy fruits melts into a delicate floral heart, before settling into a soft, creamy base of woods and warm musk. Effortlessly elegant yet full of life, it's a fragrance that feels both radiant and comforting.</span></p>
<p class=""isSelectedEnd""><span>Fresh, luminous, and irresistibly sophisticated, Golden Hour is perfect for those who appreciate refined fragrances with a modern, uplifting character. Whether worn on a sunny afternoon or a romantic evening, it leaves behind a smooth, memorable trail that feels like the warmth of sunset on your skin.</span></p>
<p><strong><span>Fragrance Family:</span></strong><span> Citrus • Floral • Woody</span><br><strong><span>Mood:</span></strong><span> Radiant • Elegant • Effortlessly Chic</span></p>",Niche Essences,,Eau De Parfum,"Byredo, Byredo's Bal d'Afrique, Niche Essences, Niche Perfumes, niche:taxonomy:v1, niche:audience:unisex, niche:note:citrus-accord, niche:note:floral-accord, niche:note:fruity-accord, niche:note:musk, niche:note:woody-accord, niche:season:all-season, niche:time:evening, niche:occasion:date-night",TRUE,Title,Default Title,,,,,GH-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/8.png?v=1787222739,1,,,,,,,,,,,,,,,,,,,,,,,,active
kingpin-5ml-travel-size-edp,Kingpin — 5ml Travel Size,"<p><img><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/Kingpin.png?v=1785245058"" alt=""""></p>
<p><strong>Inspired by Xerjoff's Naxos</strong></p>
<p><strong>Timeless Sophistication with Bold Character</strong></p>
<p><strong>KINGPIN</strong> by Niche Eau de Parfum is a distinguished unisex fragrance inspired by the iconic character of Naxos. It opens with a vibrant blend of fresh bergamot, bright lemon, and aromatic lavender, creating a crisp yet inviting introduction that is both elegant and effortlessly masculine. This refined opening captures the essence of confidence, setting the stage for a fragrance that balances tradition with modern luxury.</p>
<p><strong>Honeyed Tobacco &amp; Aromatic Warmth</strong></p>
<p>At the heart of KINGPIN lies an irresistible fusion of golden honey, rich tobacco leaf, and soft cinnamon. The sweetness of honey perfectly complements the depth of tobacco, while subtle spices and aromatic lavender add warmth and sophistication. This luxurious composition creates a bold yet perfectly balanced scent that feels rich, comforting, and undeniably charismatic.</p>
<p><strong>Vanilla Woods &amp; Lasting Elegance</strong></p>
<p>The fragrance settles into a smooth and captivating base of creamy vanilla, tonka bean, and precious woods. Warm tobacco nuances linger alongside soft vanilla, creating a refined and long-lasting trail that is both sensual and distinguished. KINGPIN is a signature-worthy men's eau de parfum—rich, elegant, and unforgettable, crafted for those who appreciate timeless luxury with unmistakable presence.</p>
<p><img><img><img><img><img><img><img><img></p>",Niche Essences,,Eau De Parfum,"Naxos, Niche Essences, Niche Perfumes, Xerjoff, niche:taxonomy:v1, niche:audience:unisex, niche:note:bergamot, niche:note:cinnamon, niche:note:honey, niche:note:lavender, niche:note:lemon, niche:note:tobacco, niche:note:tonka-bean, niche:note:vanilla, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:date-night, niche:occasion:special-occasion",TRUE,Title,Default Title,,,,,Ki-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/7.png?v=1787222662,1,,,,,,,,,,,,,,,,,,,,,,,,active
epoch-5ml-travel-size-edp,Epoch — 5ml Travel Size,"<p class=""isSelectedEnd""><strong><span><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/EPOCH.png?v=1786281245"" alt=""""></span></strong></p>
<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""><strong><span>Epoch</span></strong><br><em><span>Inspired by Ex Nihilo's Generation</span></em></p>
<p class=""isSelectedEnd""><span>Epoch is a fragrance that captures the spirit of a new era—bold, refined, and unapologetically modern. It opens with an energetic burst of fresh citrus and vibrant spices, creating an immediate sense of confidence and momentum. At its heart, elegant florals blend seamlessly with rich woody nuances, before giving way to a smooth, sensual base of musk and warm amber that leaves a sophisticated, long-lasting impression.</span></p>
<p class=""isSelectedEnd""><span>Designed for those who embrace progress without compromising on elegance, Epoch is versatile enough for every occasion. Whether you're leading a meeting, exploring a new city, or enjoying an evening out, it delivers a distinctive presence that feels contemporary, polished, and effortlessly memorable.</span></p>
<p><strong><span>Fragrance Family:</span></strong><span> Woody • Aromatic • Amber</span><br><strong><span>Mood:</span></strong><span> Modern • Sophisticated • Confident</span></p>",Niche Essences,,Eau De Parfum,"Niche Essences, Niche Perfumes, niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:office",TRUE,Title,Default Title,,,,,EP-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,,active
bombshell-5ml-travel-size-edp,Bombshell — 5ml Travel Size,"<p><strong><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/verdict_610b6607-b1d3-49df-9c98-8744304ccddb.png?v=1786281201"" alt="""">Radiant Femininity with Irresistible Energy</strong><br><strong>BOMBSHELL</strong> by Niche Eau de Parfum is a captivating women's fragrance inspired by the vibrant character of La Bomba by Carolina Herrera. It opens with a lively burst of exotic fruits and luminous citrus, creating a juicy and energetic introduction that is both playful and sophisticated. This radiant opening captures the essence of confidence and femininity, setting the stage for a fragrance that feels bold, joyful, and effortlessly glamorous.</p>
<p><strong>Exotic Fruits &amp; Tropical Sophistication</strong><br>At the heart of BOMBSHELL lies an enchanting fusion of tropical fruits and delicate floral nuances. Juicy, vibrant fruit notes create an irresistible sweetness, while elegant florals add softness and refinement to the composition. The result is a beautifully balanced heart that feels fresh, sensual, and full of personality, capturing the carefree spirit of a woman who commands attention wherever she goes.</p>
<p><strong>Creamy Woods &amp; Sensual Warmth</strong><br>The fragrance settles into a smooth and captivating base of warm woods, soft musk, and creamy vanilla nuances. The gentle sweetness blends beautifully with the woody foundation, creating a feminine and lasting trail that is both sensual and sophisticated. BOMBSHELL is a signature-worthy women's eau de parfum—vibrant, playful, and unforgettable, crafted for those who embrace their confidence, celebrate their femininity, and leave an unmistakable impression.</p>",Niche Essences,,Eau De Parfum,"La Bomba, niche:taxonomy:v1, niche:audience:female, niche:note:citrus-accord, niche:note:floral-accord, niche:note:fruity-accord, niche:note:musk, niche:note:vanilla, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:date-night, niche:occasion:special-occasion",TRUE,Title,Default Title,,,,,BS-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/4_1.png?v=1787222504,1,,,,,,,,,,,,,,,,,,,,,,,,active
halo-5ml-travel-size-eau-de-parfum,Halo — 5ml Travel Size,"<p><strong><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/verdict_098c2017-2afe-4174-b110-10be152128f5.png?v=1786280492"" alt="""" width=""627"" height=""391""></strong><strong>Radiant Elegance with Effortless Charm</strong><br><strong>HALO</strong> by Niche Eau de Parfum is a sophisticated women's fragrance inspired by the luminous character of Elysium Pour Femme Parfum by Roja. It opens with a vibrant blend of succulent peach, juicy blackberry, sparkling mandarin, and fresh bergamot, creating a radiant and uplifting introduction that is both feminine and effortlessly elegant. This captivating opening evokes a sense of beauty and optimism, setting the stage for a fragrance that feels luxurious, graceful, and full of life.</p>
<p><strong>Luminous Florals &amp; Feminine Sophistication</strong><br>At the heart of HALO lies an exquisite bouquet of lily of the valley, jasmine, freesia, magnolia, peony, and ylang ylang, delicately enriched by tuberose, violet, geranium, and cyclamen. The blend unfolds with remarkable floral richness, balancing soft freshness with creamy, radiant florals and elegant depth. This enchanting heart creates a beautifully feminine character that feels refined, romantic, and irresistibly captivating.</p>
<p><strong>Soft Woods &amp; Sensual Radiance</strong><br>The fragrance settles into a smooth and alluring base of musk, red berries, cedarwood, sandalwood, and vanilla. Creamy vanilla and soft sandalwood bring warmth and sensuality, while musk and cedarwood create a refined foundation that allows the fruity and floral nuances to linger beautifully. HALO is a signature-worthy women's eau de parfum—radiant, elegant, and unforgettable, crafted for those who appreciate timeless femininity with a luminous and sophisticated presence.</p>",Niche Essences,,Eau De Parfum,"Roja, niche:taxonomy:v1, niche:audience:female, niche:note:bergamot, niche:note:blackberry, niche:note:cedar, niche:note:floral-accord, niche:note:fruity-accord, niche:note:jasmine, niche:note:lily, niche:note:mandarin, niche:note:musk, niche:note:peach, niche:note:sandalwood, niche:note:tuberose, niche:note:vanilla, niche:note:violet, niche:note:woody-accord, niche:note:ylang-ylang, niche:season:all-season, niche:time:day-to-night, niche:occasion:everyday, niche:occasion:date-night",TRUE,Title,Default Title,,,,,HA-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/3.png?v=1787222428,1,,,,,,,,,,,,,,,,,,,,,,,,active
blacklist-5ml-travel-size-edp,Blacklist — 5ml Travel Size,"<p class=""isSelectedEnd""><strong><span><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/BLACKLIST.png?v=1786281512"" alt=""""></span></strong></p>
<p class=""isSelectedEnd""><strong><span>Blacklist</span></strong><br><em><span>Inspired by Armani Privé's Noir Kogane</span></em></p>
<p class=""isSelectedEnd""><span>Blacklist is an invitation into a world where mystery meets luxury. Rich, dark, and undeniably captivating, it opens with an intriguing blend of warm spices and precious woods that instantly commands attention. As the fragrance unfolds, smoky nuances intertwine with elegant florals, creating remarkable depth before settling into an opulent base of amber, resin, and sensual musk that lingers long after you've left the room.</span></p>
<p class=""isSelectedEnd""><span>Crafted for those who appreciate understated power and timeless sophistication, Blacklist is a statement fragrance that doesn't need to shout to be noticed. Perfect for evenings, special occasions, and moments when confidence is your strongest accessory, it leaves behind a bold, unforgettable signature.</span></p>
<p><strong><span>Fragrance Family:</span></strong><span> Woody • Spicy • Amber</span><br><strong><span>Mood:</span></strong><span> Mysterious • Powerful • Luxurious</span></p>",Niche Essences,,Eau De Parfum,"Armani Privé's Noir Kogane, niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:floral-accord, niche:note:musk, niche:note:resins, niche:note:smoke, niche:note:spicy-accord, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:date-night, niche:occasion:special-occasion",TRUE,Title,Default Title,,,,,BL-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/2.png?v=1787222367,1,,,,,,,,,,,,,,,,,,,,,,,,active
regent-5ml-travel-size-edp,Regent — 5ml Travel Size,"<p class=""isSelectedEnd""> </p>
<p class=""isSelectedEnd""><strong><span><img src=""https://cdn.shopify.com/s/files/1/0886/2007/3282/files/Regent.png?v=1786281902"" alt=""""></span></strong></p>
<p class=""isSelectedEnd""><strong><span>Regent</span></strong><br><em><span>Inspired by Parfums de Marly's Castley</span></em></p>
<p class=""isSelectedEnd""><span>Regent is a fragrance that embodies modern nobility—refined, charismatic, and effortlessly commanding. It opens with a vibrant fusion of sparkling citrus and aromatic spices, delivering an invigorating freshness that immediately captures attention. As the scent evolves, sophisticated woody notes emerge, balanced by subtle floral nuances before settling into a rich, warm base of amber, precious woods, and musk that leaves an elegant, long-lasting trail.</span></p>
<p class=""isSelectedEnd""><span>Created for those who lead with quiet confidence, Regent is versatile enough for both everyday sophistication and formal occasions. It is a fragrance that speaks of ambition, refinement, and timeless style, making every entrance feel distinguished and every impression unforgettable.</span></p>
<p><strong><span>Fragrance Family:</span></strong><span> Woody • Aromatic • Amber</span><br><strong><span>Mood:</span></strong><span> Regal • Sophisticated • Confident</span></p>",Niche Essences,,Eau De Parfum,"Castley, Niche Essences, Niche Perfumes, PDM, niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:spicy-accord, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:everyday, niche:occasion:formal",TRUE,Title,Default Title,,,,,RE-EDP-05,0,,0,deny,manual,120.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0886/2007/3282/files/1_1.png?v=1787222280,1,,,,,,,,,,,,,,,,,,,,,,,,active
