handle,title,audience,notes,seasons,times,occasions,all_tags
sweet-trouble-5ml-travel-size-edp,Sweet Trouble — 5ml Travel Size,female,"citrus-accord, floral-accord, musk, rose, vanilla",all-season,evening,"everyday, date-night, signature-scent","niche:taxonomy:v1, niche:audience:female, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:rose, niche:note:vanilla, niche:season:all-season, niche:time:evening, niche:occasion:everyday, niche:occasion:date-night, niche:occasion:signature-scent"
verdict-5ml-travel-size-edp,Verdict — 5ml Travel Size,unisex,"bergamot, cedar, floral-accord, fruity-accord, grapefruit, jasmine, moss, patchouli, pineapple, woody-accord",all-season,day-to-night,"everyday, signature-scent","niche:taxonomy:v1, niche:audience:unisex, niche:note:bergamot, niche:note:cedar, niche:note:floral-accord, niche:note:fruity-accord, niche:note:grapefruit, niche:note:jasmine, niche:note:moss, niche:note:patchouli, niche:note:pineapple, niche:note:woody-accord, niche:season:all-season, niche:time:day-to-night, niche:occasion:everyday, niche:occasion:signature-scent"
maverick-5ml-travel-size-edp,Maverick — 5ml Travel Size,male,"amber, apple, bergamot, cedar, floral-accord, ginger, sage, tonka-bean, woody-accord",all-season,day-to-night,"everyday, signature-scent","niche:taxonomy:v1, niche:audience:male, niche:note:amber, niche:note:apple, niche:note:bergamot, niche:note:cedar, niche:note:floral-accord, niche:note:ginger, niche:note:sage, niche:note:tonka-bean, niche:note:woody-accord, niche:season:all-season, niche:time:day-to-night, niche:occasion:everyday, niche:occasion:signature-scent"
golden-hour-5ml-travel-size-eau-de-parfum,Golden Hour — 5ml Travel Size,unisex,"citrus-accord, floral-accord, fruity-accord, musk, woody-accord",all-season,evening,date-night,"niche:taxonomy:v1, niche:audience:unisex, niche:note:citrus-accord, niche:note:floral-accord, niche:note:fruity-accord, niche:note:musk, niche:note:woody-accord, niche:season:all-season, niche:time:evening, niche:occasion:date-night"
kingpin-5ml-travel-size-edp,Kingpin — 5ml Travel Size,unisex,"bergamot, cinnamon, honey, lavender, lemon, tobacco, tonka-bean, vanilla, woody-accord","autumn, winter","evening, night","date-night, special-occasion","niche:taxonomy:v1, niche:audience:unisex, niche:note:bergamot, niche:note:cinnamon, niche:note:honey, niche:note:lavender, niche:note:lemon, niche:note:tobacco, niche:note:tonka-bean, niche:note:vanilla, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:time:night, niche:occasion:date-night, niche:occasion:special-occasion"
epoch-5ml-travel-size-edp,Epoch — 5ml Travel Size,unisex,"amber, citrus-accord, floral-accord, musk, woody-accord","autumn, winter",evening,office,"niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:office"
bombshell-5ml-travel-size-edp,Bombshell — 5ml Travel Size,female,"citrus-accord, floral-accord, fruity-accord, musk, vanilla, woody-accord","autumn, winter","evening, night","date-night, special-occasion","niche:taxonomy:v1, niche:audience:female, niche:note:citrus-accord, niche:note:floral-accord, niche:note:fruity-accord, niche:note:musk, niche:note:vanilla, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:time:night, niche:occasion:date-night, niche:occasion:special-occasion"
halo-5ml-travel-size-eau-de-parfum,Halo — 5ml Travel Size,female,"bergamot, blackberry, cedar, floral-accord, fruity-accord, jasmine, lily, mandarin, musk, peach, sandalwood, tuberose, vanilla, violet, woody-accord, ylang-ylang",all-season,day-to-night,"date-night, everyday","niche:taxonomy:v1, niche:audience:female, niche:note:bergamot, niche:note:blackberry, niche:note:cedar, niche:note:floral-accord, niche:note:fruity-accord, niche:note:jasmine, niche:note:lily, niche:note:mandarin, niche:note:musk, niche:note:peach, niche:note:sandalwood, niche:note:tuberose, niche:note:vanilla, niche:note:violet, niche:note:woody-accord, niche:note:ylang-ylang, niche:season:all-season, niche:time:day-to-night, niche:occasion:date-night, niche:occasion:everyday"
blacklist-5ml-travel-size-edp,Blacklist — 5ml Travel Size,unisex,"amber, floral-accord, musk, resins, smoke, spicy-accord, woody-accord","autumn, winter",evening,"date-night, special-occasion","niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:floral-accord, niche:note:musk, niche:note:resins, niche:note:smoke, niche:note:spicy-accord, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:date-night, niche:occasion:special-occasion"
regent-5ml-travel-size-edp,Regent — 5ml Travel Size,unisex,"amber, citrus-accord, floral-accord, musk, spicy-accord, woody-accord","autumn, winter","evening, night","everyday, formal","niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:spicy-accord, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:time:night, niche:occasion:everyday, niche:occasion:formal"
regent-by-niche-eau-de-parfum-inspired-by-pdms-castley,Regent — Eau de Parfum,unisex,"amber, citrus-accord, floral-accord, musk, spicy-accord, woody-accord","autumn, winter","evening, night","everyday, formal","niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:citrus-accord, niche:note:floral-accord, niche:note:musk, niche:note:spicy-accord, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:time:night, niche:occasion:everyday, niche:occasion:formal"
blacklist-by-niche-eau-de-parfum-inspired-by-giorgio-armanis-noir-kogane,Blacklist — Eau de Parfum,unisex,"amber, floral-accord, musk, resins, smoke, spicy-accord, woody-accord","autumn, winter",evening,"date-night, special-occasion","niche:taxonomy:v1, niche:audience:unisex, niche:note:amber, niche:note:floral-accord, niche:note:musk, niche:note:resins, niche:note:smoke, niche:note:spicy-accord, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:occasion:date-night, niche:occasion:special-occasion"
bombshell-by-niche-eau-de-parfum-inspired-by-carolina-hereras-la-bomba,Bombshell — Eau de Parfum,female,"citrus-accord, floral-accord, fruity-accord, musk, vanilla, woody-accord","autumn, winter","evening, night","date-night, special-occasion","niche:taxonomy:v1, niche:audience:female, niche:note:citrus-accord, niche:note:floral-accord, niche:note:fruity-accord, niche:note:musk, niche:note:vanilla, niche:note:woody-accord, niche:season:autumn, niche:season:winter, niche:time:evening, niche:time:night, niche:occasion:date-night, niche:occasion:special-occasion"
